data,dia_semana,feriado
2024-01-01,segunda-feira,Confraternização Universal
2024-02-12,segunda-feira,Carnaval
2024-02-13,terça-feira,Carnaval
2024-02-19,segunda-feira,Aniversário da Cidade
2024-03-29,sexta-feira,Paixão de Cristo
2024-04-21,domingo,Tiradentes
2024-05-01,quarta-feira,Dia do Trabalho
2024-06-19,quinta-feira,Corpus Christi
2024-09-07,sábado,Independência do Brasil
2024-10-12,sábado,Nossa Sra. Aparecida - Padroeira do Brasil
2024-11-02,sábado,Finados
2024-11-15,sexta-feira,Proclamação da República
2024-11-20,quarta-feira,Dia Nacional de Zumbi e da Consciência Negra
2024-12-25,quarta-feira,Natal
2025-01-01,quarta-feira,Confraternização Universal
2025-02-19,quarta-feira,Aniversário da Cidade
2025-03-03,segunda-feira,Carnaval
2025-03-04,terça-feira,Carnaval
2025-04-18,sexta-feira,Paixão de Cristo
2025-04-21,segunda-feira,Tiradentes
2025-05-01,quinta-feira,Dia do Trabalho
2025-06-19,quinta-feira,Corpus Christi
2025-09-07,domingo,Independência do Brasil
2025-10-12,domingo,Nossa Sra. Aparecida - Padroeira do Brasil
2025-11-02,domingo,Finados
2025-11-15,sábado,Proclamação da República
2025-11-20,quinta-feira,Dia Nacional de Zumbi e da Consciência Negra
2025-12-25,quinta-feira,Natal